Time,Temperature,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
0s,37.0 °C,,,,,,,,,,,,,,,,,0.15826,0.16388,0.16154,0.16419,,,,,,,,,0.1285,0.13213,0.13799,0.13296,,,,,,,,,0.11783,0.11309,0.11456,0.11441,,,,,,,,,0.096578,0.098756,0.096156,0.097644,,,,,,,,,0.095078,0.10728,0.095533,0.097822,,,,,,,,,0.095544,0.095589,0.094933,0.096644,,,,
324s,37.0 °C,,,,,,,,,,,,,,,,,0.14876,0.15067,0.15331,0.15399,,,,,,,,,0.12437,0.12537,0.12693,0.12612,,,,,,,,,0.11546,0.10956,0.10938,0.11149,,,,,,,,,0.096733,0.098256,0.096611,0.097667,,,,,,,,,0.095356,0.106,0.095378,0.095911,,,,,,,,,0.0957,0.095944,0.095067,0.095444,,,,
650s,37.0 °C,,,,,,,,,,,,,,,,,0.15318,0.15243,0.15689,0.15529,,,,,,,,,0.12572,0.1258,0.128,0.12624,,,,,,,,,0.11262,0.10937,0.10948,0.1115,,,,,,,,,0.096656,0.098022,0.096544,0.097567,,,,,,,,,0.095256,0.10553,0.0953,0.095689,,,,,,,,,0.095533,0.095867,0.0949,0.095256,,,,
974s,37.0 °C,,,,,,,,,,,,,,,,,0.1554,0.15319,0.15704,0.15526,,,,,,,,,0.12624,0.12549,0.12817,0.12709,,,,,,,,,0.11089,0.10967,0.10944,0.11162,,,,,,,,,0.096767,0.097956,0.096544,0.097589,,,,,,,,,0.095333,0.10549,0.095411,0.095544,,,,,,,,,0.095467,0.095867,0.094944,0.095211,,,,
1298s,37.0 °C,,,,,,,,,,,,,,,,,0.15577,0.15556,0.15804,0.15698,,,,,,,,,0.12688,0.12527,0.12757,0.12791,,,,,,,,,0.1109,0.10994,0.10941,0.11156,,,,,,,,,0.097044,0.098178,0.096933,0.097856,,,,,,,,,0.095289,0.10549,0.095256,0.095478,,,,,,,,,0.095189,0.095778,0.094756,0.095,,,,
1622s,37.0 °C,,,,,,,,,,,,,,,,,0.16127,0.16047,0.16091,0.16214,,,,,,,,,0.12898,0.12619,0.12882,0.12909,,,,,,,,,0.11142,0.11024,0.10961,0.11186,,,,,,,,,0.097433,0.098344,0.097178,0.098144,,,,,,,,,0.095278,0.1051,0.095256,0.095433,,,,,,,,,0.095244,0.095733,0.094878,0.095033,,,,
1945s,36.9 °C,,,,,,,,,,,,,,,,,0.167,0.16997,0.16847,0.16852,,,,,,,,,0.13144,0.12822,0.1299,0.13161,,,,,,,,,0.11247,0.11056,0.11036,0.11262,,,,,,,,,0.097878,0.0988,0.097644,0.098633,,,,,,,,,0.095611,0.10538,0.095589,0.095733,,,,,,,,,0.095744,0.096122,0.095167,0.095367,,,,
2269s,36.9 °C,,,,,,,,,,,,,,,,,0.17841,0.18387,0.18096,0.17921,,,,,,,,,0.1349,0.13127,0.13318,0.13547,,,,,,,,,0.11432,0.11189,0.1116,0.11422,,,,,,,,,0.098511,0.0994,0.098233,0.099278,,,,,,,,,0.095956,0.10567,0.096156,0.096067,,,,,,,,,0.096111,0.0965,0.095511,0.095744,,,,
2593s,37.2 °C,,,,,,,,,,,,,,,,,0.19554,0.19789,0.195,0.19408,,,,,,,,,0.13998,0.13576,0.13766,0.14031,,,,,,,,,0.11697,0.11377,0.11369,0.11679,,,,,,,,,0.099378,0.10009,0.098889,0.10006,,,,,,,,,0.0964,0.10601,0.096456,0.096489,,,,,,,,,0.096567,0.096944,0.096011,0.096233,,,,
2916s,37.1 °C,,,,,,,,,,,,,,,,,0.21168,0.21344,0.21116,0.21106,,,,,,,,,0.14528,0.14138,0.14334,0.14588,,,,,,,,,0.12011,0.11649,0.1163,0.11958,,,,,,,,,0.10031,0.10096,0.099856,0.101,,,,,,,,,0.096833,0.1063,0.096889,0.096956,,,,,,,,,0.097111,0.097378,0.096556,0.096789,,,,
3240s,37.0 °C,,,,,,,,,,,,,,,,,0.23068,0.2285,0.22954,0.22722,,,,,,,,,0.1533,0.14643,0.14942,0.15149,,,,,,,,,0.12407,0.11893,0.11919,0.12284,,,,,,,,,0.10134,0.10201,0.10092,0.1023,,,,,,,,,0.097222,0.10669,0.0972,0.097389,,,,,,,,,0.097667,0.098011,0.097189,0.097422,,,,
3564s,37.2 °C,,,,,,,,,,,,,,,,,0.2503,0.24713,0.25348,0.24746,,,,,,,,,0.16479,0.15442,0.15964,0.16119,,,,,,,,,0.12783,0.12249,0.12263,0.12704,,,,,,,,,0.10276,0.10332,0.10227,0.1037,,,,,,,,,0.097911,0.10732,0.097822,0.098111,,,,,,,,,0.0984,0.0988,0.098011,0.098167,,,,
