Date,Molarity,Plaques,Dilution,Time
3/19/21,0.17,25,-2,0
3/19/21,0.17,18,-2,0
3/19/21,0.17,20,-2,0
3/19/21,0.17,22,-2,45
3/19/21,0.17,21,-2,45
3/19/21,0.17,26,-2,45
3/19/21,0.17,33,-2,90
3/19/21,0.17,36,-2,90
3/19/21,0.17,16,-2,90
3/19/21,0,16,-2,45
3/19/21,0,12,-2,45
3/19/21,0,20,-2,45
3/19/21,0,27,-2,90
3/19/21,0,27,-2,90
3/19/21,0,39,-2,90
3/19/21,0.5,20,-2,45
3/19/21,0.5,28,-2,45
3/19/21,0.5,20,-2,45
3/19/21,0.5,21,-2,90
3/19/21,0.5,25,-2,90
3/19/21,0.5,34,-2,90
3/19/21,3,19,-2,45
3/19/21,3,23,-2,45
3/19/21,3,15,-2,45
3/19/21,3,34,-2,90
3/19/21,3,38,-2,90
3/19/21,3,22,-2,90
3/19/21,5,25,-2,45
3/19/21,5,16,-2,45
3/19/21,5,15,-2,45
3/19/21,5,26,-2,90
3/19/21,5,16,-2,90
3/19/21,5,18,-2,90
3/26/21,0.17,15,-2,0
3/26/21,0.17,20,-2,0
3/26/21,0.17,11,-2,0
3/26/21,0.17,272,-1,45
3/26/21,0.17,16,-2,45
3/26/21,0.17,26,-2,45
3/26/21,0.17,52,-2,90
3/26/21,0.17,36,-2,90
3/26/21,0.17,61,-2,90
3/26/21,0,11,-2,45
3/26/21,0,12,-2,45
3/26/21,0,14,-2,45
3/26/21,0,41,-2,90
3/26/21,0,35,-2,90
3/26/21,0,38,-2,90
3/26/21,0.5,21,-2,45
3/26/21,0.5,17,-2,45
3/26/21,0.5,10,-2,45
3/26/21,0.5,39,-2,90
3/26/21,0.5,29,-2,90
3/26/21,0.5,25,-2,90
3/26/21,3,30,-2,45
3/26/21,3,22,-2,45
3/26/21,3,27,-2,45
3/26/21,3,31,-2,90
3/26/21,3,23,-2,90
3/26/21,3,24,-2,90
3/26/21,5,31,-2,45
3/26/21,5,35,-2,45
3/26/21,5,28,-2,45
3/26/21,5,21,-2,90
3/26/21,5,17,-2,90
3/26/21,5,25,-2,90
4/17/21,0.17,14,-2,0
4/17/21,0.17,18,-2,0
4/17/21,0.17,24,-2,0
4/17/21,0.17,16,-2,45
4/17/21,0.17,25,-2,45
4/17/21,0.17,20,-2,45
4/17/21,0.17,13,-2,90
4/17/21,0.17,18,-2,90
4/17/21,0.17,45,-2,90
4/17/21,0,3,-2,45
4/17/21,0,7,-2,45
4/17/21,0,2,-2,45
4/17/21,0,33,-2,90
4/17/21,0,38,-2,90
4/17/21,0,53,-2,90
4/17/21,0.5,16,-2,45
4/17/21,0.5,8,-2,45
4/17/21,0.5,15,-2,45
4/17/21,0.5,40,-2,90
4/17/21,0.5,21,-2,90
4/17/21,0.5,46,-2,90
4/17/21,3,27,-2,45
4/17/21,3,20,-2,45
4/17/21,3,25,-2,45
4/17/21,3,25,-2,90
4/17/21,3,44,-2,90
4/17/21,3,39,-2,90
4/17/21,5,23,-2,45
4/17/21,5,26,-2,45
4/17/21,5,39,-2,45
4/17/21,5,50,-2,90
4/17/21,5,51,-2,90
4/17/21,5,61,-2,90
