Temperature (°C),Duration of shock (m),Plate count
55,5,98
55,5,90
55,5,92
55,30,153
55,30,101
55,30,113
55,60,124
55,60,100
55,60,102
55,90,77
55,90,127
55,90,147
60,5,101
60,5,95
60,5,88
60,30,120
60,30,127
60,30,137
60,60,125
60,60,114
60,60,122
60,90,126
60,90,98
60,90,102
65,5,128
65,5,77
65,5,91
65,30,106
65,30,100
65,30,106
65,60,77
65,60,89
65,60,73
65,90,68
65,90,57
65,90,54
70,5,116
70,5,107
70,5,114
70,30,32
70,30,43
70,30,43
70,60,11
70,60,10
70,60,9
70,90,3
70,90,3
70,90,4
75,5,13
75,5,24
75,5,11
75,30,0
75,30,0
75,30,0
75,60,0
75,60,0
75,60,0
75,90,0
75,90,0
75,90,0
80,5,0
80,5,0
80,5,0
80,30,0
80,30,0
80,30,0
80,60,0
80,60,0
80,60,0
80,90,0
80,90,0
80,90,0
