Urea concentration (M),Duration of shock (m),Plate count,,,,,,,,,,,,,,,,,,
0,0,175,Control,,,,,,,,,,,,,,,,,
0,5,220,Control,,,,,,,,,,,,,,,,,
0,30,214,Control,,,,,,,,,,,,,,,,,
0,60,264,Control,,,,,,,,,,,,,,,,,
0,90,243,Control,,,,,,,,,,,,,,,,,
1,5,216,,,,,,,,,,,,,,,,,,
1,5,234,,,,,,,,,,,,,,,,,,
1,5,400,,,,,,,,,,,,,,,,,,
1,30,205,,,,,,,,,,,,,,,,,,
1,30,233,,,,,,,,,,,,,,,,,,
1,30,222,,,,,,,,,,,,,,,,,,
1,60,249,,,,,,,,,,,,,,,,,,
1,60,222,,,,,,,,,,,,,,,,,,
1,60,200,,,,,,,,,,,,,,,,,,
1,90,168,,,,,,,,,,,,,,,,,,
1,90,174,,,,,,,,,,,,,,,,,,
1,90,167,,,,,,,,,,,,,,,,,,
2,5,174,,,,,,,,,,,,,,,,,,
2,5,400,,,,,,,,,,,,,,,,,,
2,5,195,,,,,,,,,,,,,,,,,,
2,30,215,,,,,,,,,,,,,,,,,,
2,30,155,,,,,,,,,,,,,,,,,,
2,30,193,,,,,,,,,,,,,,,,,,
2,60,179,,,,,,,,,,,,,,,,,,
2,60,182,,,,,,,,,,,,,,,,,,
2,60,200,,,,,,,,,,,,,,,,,,
2,90,189,,,,,,,,,,,,,,,,,,
2,90,164,,,,,,,,,,,,,,,,,,
2,90,145,,,,,,,,,,,,,,,,,,
3,5,190,,,,,,,,,,,,,,,,,,
3,5,251,,,,,,,,,,,,,,,,,,
3,5,185,,,,,,,,,,,,,,,,,,
3,30,189,,,,,,,,,,,,,,,,,,
3,30,140,,,,,,,,,,,,,,,,,,
3,30,135,,,,,,,,,,,,,,,,,,
3,60,124,,,,,,,,,,,,,,,,,,
3,60,108,,,,,,,,,,,,,,,,,,
3,60,101,,,,,,,,,,,,,,,,,,
3,90,76,,,,,,,,,,,,,,,,,,
3,90,83,,,,,,,,,,,,,,,,,,
3,90,64,,,,,,,,,,,,,,,,,,
4,5,182,,,,,,,,,,,,,,,,,,
4,5,232,,,,,,,,,,,,,,,,,,
4,5,172,,,,,,,,,,,,,,,,,,
4,30,171,,,,,,,,,,,,,,,,,,
4,30,105,,,,,,,,,,,,,,,,,,
4,30,97,,,,,,,,,,,,,,,,,,
4,60,81,,,,,,,,,,,,,,,,,,
4,60,69,,,,,,,,,,,,,,,,,,
4,60,59,,,,,,,,,,,,,,,,,,
4,90,40,,,,,,,,,,,,,,,,,,
4,90,38,,,,,,,,,,,,,,,,,,
4,90,29,,,,,,,,,,,,,,,,,,
5,5,132,,,,,,,,,,,,,,,,,,
5,5,142,,,,,,,,,,,,,,,,,,
5,5,83,,,,,,,,,,,,,,,,,,
5,30,39,,,,,,,,,,,,,,,,,,
5,30,40,,,,,,,,,,,,,,,,,,
5,30,36,,,,,,,,,,,,,,,,,,
5,60,7,,,,,,,,,,,,,,,,,,
5,60,5,,,,,,,,,,,,,,,,,,
5,60,8,,,,,,,,,,,,,,,,,,
5,90,1,,,,,,,,,,,,,,,,,,
5,90,0,,,,,,,,,,,,,,,,,,
5,90,0,,,,,,,,,,,,,,,,,,
6,5,8,,,,,,,,,,,,,,,,,,
6,5,14,,,,,,,,,,,,,,,,,,
