"Time","Temperature","Well","OD600","Contents","bacteria","phage","phageshock","bactshock","mediashock","Rep","sm_od"
0,"36.8 °C","A1",0.1026,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.09947
300,"37.0 °C","A1",0.1003,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.09951
600,"37.1 °C","A1",0.0978,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.10005
900,"37.1 °C","A1",0.0975,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.10115
1200,"37.1 °C","A1",0.0981,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.10256
1500,"36.8 °C","A1",0.098,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.10421
1800,"36.6 °C","A1",0.0989,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.10637
2100,"36.6 °C","A1",0.0994,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.10925
2400,"36.6 °C","A1",0.1004,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.11379
2700,"36.6 °C","A1",0.1017,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.12054
3000,"36.5 °C","A1",0.103,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.12828
3300,"36.4 °C","A1",0.1057,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.1363
3600,"36.5 °C","A1",0.1088,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.14472
3900,"36.5 °C","A1",0.1116,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.15319
4200,"36.3 °C","A1",0.1146,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.16207
4500,"36.4 °C","A1",0.1196,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.1709
4800,"36.3 °C","A1",0.1277,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.18004
5100,"36.3 °C","A1",0.1448,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.18935
5400,"36.4 °C","A1",0.1679,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.19746
5700,"36.3 °C","A1",0.1791,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.2043
6000,"36.4 °C","A1",0.1832,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.21066
6300,"36.3 °C","A1",0.1899,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.2166
6600,"36.3 °C","A1",0.1935,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.21977
6900,"36.2 °C","A1",0.2004,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.22305
7200,"36.2 °C","A1",0.2029,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.2263
7500,"36.4 °C","A1",0.211,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.22988
7800,"36.4 °C","A1",0.2208,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.23322
8100,"36.3 °C","A1",0.2259,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.23626
8400,"36.4 °C","A1",0.2363,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.2393
8700,"36.3 °C","A1",0.2427,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.24205
9000,"36.2 °C","A1",0.2426,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.2447
9300,"36.4 °C","A1",0.2216,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.24784
9600,"36.2 °C","A1",0.2263,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.25349
9900,"36.2 °C","A1",0.2329,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.25894
10200,"36.2 °C","A1",0.2387,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.26385
10500,"36.1 °C","A1",0.2444,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.26844
10800,"36.2 °C","A1",0.2512,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.27284
11100,"36.1 °C","A1",0.2563,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.27678
11400,"36.2 °C","A1",0.2638,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.28067
11700,"36.2 °C","A1",0.2692,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.28406
12000,"36.2 °C","A1",0.274,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.28716
12300,"36.4 °C","A1",0.2781,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.28998
12600,"36.2 °C","A1",0.2808,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.29266
12900,"36.2 °C","A1",0.282,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.29552
13200,"36.2 °C","A1",0.2846,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.29881
13500,"36.1 °C","A1",0.2884,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.30248
13797,"36.2 °C","A1",0.2906,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.30637
14095,"36.2 °C","A1",0.2952,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.31068
14395,"36.3 °C","A1",0.2977,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.31522
14695,"36.1 °C","A1",0.3002,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.32011
14995,"36.1 °C","A1",0.3022,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.32537
15295,"36.2 °C","A1",0.3049,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.33108
15595,"36.2 °C","A1",0.3094,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.33713
15895,"36.1 °C","A1",0.3149,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.34346
16195,"36.3 °C","A1",0.3213,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.34993
16495,"36.1 °C","A1",0.3273,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.35638
16795,"36.2 °C","A1",0.3337,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.36284
17095,"36.2 °C","A1",0.3406,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.36934
17395,"36.2 °C","A1",0.3466,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.37581
17695,"36.2 °C","A1",0.3528,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.38233
17995,"36.2 °C","A1",0.3593,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.38877
18295,"36.2 °C","A1",0.3654,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.39519
18595,"36.3 °C","A1",0.3727,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.40155
18895,"36.2 °C","A1",0.3796,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.40778
19195,"36.2 °C","A1",0.3858,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.41388
19495,"36.2 °C","A1",0.3919,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.41981
19795,"36.1 °C","A1",0.3987,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.42558
20095,"36.2 °C","A1",0.4053,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.43114
20395,"36.2 °C","A1",0.4118,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.43639
20696,"36.1 °C","A1",0.4172,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44148
20996,"36.1 °C","A1",0.4235,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44653
21296,"36.1 °C","A1",0.429,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.45119
21596,"36.4 °C","A1",0.435,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.4557
21896,"36.2 °C","A1",0.4406,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.45993
22196,"36.2 °C","A1",0.4451,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.46383
22496,"36.2 °C","A1",0.4496,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.46754
22796,"36.2 °C","A1",0.4543,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.47105
23096,"36.2 °C","A1",0.4578,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.47447
23396,"36.2 °C","A1",0.4627,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.47762
23696,"36.4 °C","A1",0.4677,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.4804
23996,"36.1 °C","A1",0.4701,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.48275
24296,"36.2 °C","A1",0.4741,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.48489
24596,"36.1 °C","A1",0.4773,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.48615
24896,"36.2 °C","A1",0.4796,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.48459
25196,"36.2 °C","A1",0.4822,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.48066
25496,"36.2 °C","A1",0.4847,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.47583
25796,"36.2 °C","A1",0.4885,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.47237
26096,"36.1 °C","A1",0.4893,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.46866
26396,"36.2 °C","A1",0.4905,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.465
26696,"36.2 °C","A1",0.4912,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.46162
26996,"36.1 °C","A1",0.4915,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.4582
27296,"36.1 °C","A1",0.4867,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.45426
27596,"36.2 °C","A1",0.4617,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.45057
27896,"36.2 °C","A1",0.4403,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44901
28196,"36.2 °C","A1",0.4339,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44951
28496,"36.2 °C","A1",0.4501,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.45028
28796,"36.1 °C","A1",0.4514,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44913
29096,"36.2 °C","A1",0.4527,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44753
29396,"36.2 °C","A1",0.4567,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44543
29696,"36.2 °C","A1",0.457,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.44254
29996,"36.1 °C","A1",0.4521,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.43917
30296,"36.1 °C","A1",0.4498,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.43601
30596,"36.2 °C","A1",0.4461,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.43288
30896,"36.1 °C","A1",0.4453,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.42968
31196,"36.2 °C","A1",0.4416,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.42637
31496,"36.1 °C","A1",0.4386,"PAO1_S3_0_0_0_A","PAO1","B","0","0","0","A",0.42304
