"bacteria","phage","phageshock","bactshock","mediashock","Rep","Contents","max","maxtime","pfu_inoc","plot"
"NA",NA,"NA","NA","0","A","NA_NA_NA_NA_0_A",0.08416,12000,0,"- Ctrl"
"NA",NA,"NA","NA","0","B","NA_NA_NA_NA_0_B",0.08748,3300,0,"- Ctrl"
"NA",NA,"NA","NA","0","C","NA_NA_NA_NA_0_C",0.08731,900,0,"- Ctrl"
"NA",NA,"NA","NA","1","A","NA_NA_NA_NA_1_A",0.0834,0,0,"- Ctrl"
"NA",NA,"NA","NA","1","B","NA_NA_NA_NA_1_B",0.07734,8400,0,"- Ctrl"
"NA",NA,"NA","NA","1","C","NA_NA_NA_NA_1_C",0.07666,0,0,"- Ctrl"
"PAO1",NA,"NA","0","0","A","PAO1_NA_NA_0_0_A",1.49814,48596,0,"+ Ctrl"
"PAO1",NA,"NA","0","0","B","PAO1_NA_NA_0_0_B",1.51139,47096,0,"+ Ctrl"
"PAO1",NA,"NA","0","0","C","PAO1_NA_NA_0_0_C",1.47652,46196,0,"+ Ctrl"
"PAO1",NA,"NA","0","0","D","PAO1_NA_NA_0_0_D",1.48618,46196,0,"+ Ctrl"
"PAO1",NA,"NA","0","0","E","PAO1_NA_NA_0_0_E",1.45655,44996,0,"+ Ctrl"
"PAO1",NA,"NA","0","0","F","PAO1_NA_NA_0_0_F",1.43439,41096,0,"+ Ctrl"
"PAO1",NA,"NA","0","1","A","PAO1_NA_NA_0_1_A",1.47139,54896,0,"+ Ctrl Shock"
"PAO1",NA,"NA","0","1","B","PAO1_NA_NA_0_1_B",1.37476,43196,0,"+ Ctrl Shock"
"PAO1",NA,"NA","0","1","C","PAO1_NA_NA_0_1_C",1.40244,41696,0,"+ Ctrl Shock"
"PAO1",NA,"NA","0","1","D","PAO1_NA_NA_0_1_D",1.37252,41096,0,"+ Ctrl Shock"
"PAO1",NA,"NA","0","1","E","PAO1_NA_NA_0_1_E",1.36614,45896,0,"+ Ctrl Shock"
"PAO1",NA,"NA","0","1","F","PAO1_NA_NA_0_1_F",1.36739,41696,0,"+ Ctrl Shock"
"PAO1","A","0","0","0","A","PAO1_R3_0_0_0_A",0.23034,9000,200,"0"
"PAO1","A","0","0","0","B","PAO1_R3_0_0_0_B",0.22994,9000,200,"0"
"PAO1","A","0","0","0","C","PAO1_R3_0_0_0_C",0.23668,9000,200,"0"
"PAO1","A","180","0","0","A","PAO1_R3_180_0_0_A",0.59573,26396,200,"180"
"PAO1","A","180","0","0","B","PAO1_R3_180_0_0_B",0.5544,26096,200,"180"
"PAO1","A","180","0","0","C","PAO1_R3_180_0_0_C",0.58816,26096,200,"180"
"PAO1","A","270","0","0","A","PAO1_R3_270_0_0_A",0.64463,24596,200,"270"
"PAO1","A","270","0","0","B","PAO1_R3_270_0_0_B",0.70628,25796,200,"270"
"PAO1","A","270","0","0","C","PAO1_R3_270_0_0_C",0.72024,25196,200,"270"
"PAO1","A","360","0","0","A","PAO1_R3_360_0_0_A",0.42529,28496,50,"360"
"PAO1","A","360","0","0","B","PAO1_R3_360_0_0_B",0.43908,28796,50,"360"
"PAO1","A","360","0","0","C","PAO1_R3_360_0_0_C",0.34361,27896,50,"360"
"PAO1","A","5","0","0","A","PAO1_R3_5_0_0_A",0.82861,25196,200,"5"
