"Time","Temperature","Well","OD600","Contents","pctmediashocked","bacteria","phage","phageshock","Rep","sm_od"
0,"35.9 °C","A1",0.0796,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07932
300,"36.0 °C","A1",0.0795,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07929
600,"36.2 °C","A1",0.0793,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07926
900,"36.2 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07926
1200,"36.2 °C","A1",0.0793,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07925
1500,"36.2 °C","A1",0.0793,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07924
1800,"36.2 °C","A1",0.0793,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07923
2100,"36.1 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07921
2400,"36.1 °C","A1",0.0793,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07921
2700,"36.1 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.0792
3000,"36.1 °C","A1",0.0793,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.0792
3300,"36.1 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07919
3600,"36.1 °C","A1",0.0793,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07919
3900,"36.0 °C","A1",0.0791,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07918
4200,"36.3 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07917
4500,"36.3 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07917
4800,"36.1 °C","A1",0.0791,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07916
5100,"36.0 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07916
5400,"36.1 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07915
5700,"36.1 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07913
6000,"36.3 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07913
6300,"36.1 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07913
6600,"36.3 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07913
6900,"36.1 °C","A1",0.079,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07913
7200,"36.1 °C","A1",0.0792,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07915
7500,"36.2 °C","A1",0.0791,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07915
7800,"36.0 °C","A1",0.0791,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07915
8100,"36.2 °C","A1",0.0791,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07915
8400,"36.2 °C","A1",0.079,"0_NA_NA_NA_A","0","NA","NA","NA","A",0.07915
