"pctmediashocked","bacteria","phage","phageshock","Rep","Contents","max","maxtime"
"0","NA","NA","NA","A","0_NA_NA_NA_A",0.07932,0
"0","NA","NA","NA","B","0_NA_NA_NA_B",0.08311,1500
"0","NA","NA","NA","C","0_NA_NA_NA_C",0.08085,600
"0","NA","NA","NA","D","0_NA_NA_NA_D",0.07944,300
"0","NA","NA","NA","E","0_NA_NA_NA_E",0.07855,9000
"0","NA","NA","NA","F","0_NA_NA_NA_F",0.07991,0
"0","NA","NA","NA","G","0_NA_NA_NA_G",0.08674,6600
"0","NA","NA","NA","H","0_NA_NA_NA_H",0.07849,600
"0","PAO1","NA","NA","A","0_PAO1_NA_NA_A",1.30422,51301
"0","PAO1","NA","NA","B","0_PAO1_NA_NA_B",1.25579,38401
"0","PAO1","NA","NA","C","0_PAO1_NA_NA_C",1.26048,39301
"0","PAO1","NA","NA","D","0_PAO1_NA_NA_D",1.24606,45901
"0","PAO1","NA","NA","E","0_PAO1_NA_NA_E",1.24981,37501
"0","PAO1","NA","NA","F","0_PAO1_NA_NA_F",1.2414,44401
"0","PAO1","OMKO1","0","A","0_PAO1_OMKO1_0_A",0.21063,9300
"0","PAO1","OMKO1","0","B","0_PAO1_OMKO1_0_B",0.19144,9300
"0","PAO1","OMKO1","0","C","0_PAO1_OMKO1_0_C",0.20592,9300
"0","PAO1","OMKO1","0","D","0_PAO1_OMKO1_0_D",0.20317,9000
"0","PAO1","OMKO1","0","E","0_PAO1_OMKO1_0_E",0.21289,9300
"0","PAO1","OMKO1","0","F","0_PAO1_OMKO1_0_F",0.20829,9300
"0","PAO1","OMKO1","360","A","0_PAO1_OMKO1_360_A",0.69048,36601
"0","PAO1","OMKO1","360","B","0_PAO1_OMKO1_360_B",0.67738,31801
"0","PAO1","OMKO1","360","C","0_PAO1_OMKO1_360_C",0.2659,11100
"0","PAO1","OMKO1","5","A","0_PAO1_OMKO1_5_A",0.75177,36001
"0","PAO1","OMKO1","5","B","0_PAO1_OMKO1_5_B",0.8145,34501
"0","PAO1","OMKO1","5","C","0_PAO1_OMKO1_5_C",0.78845,33001
"0","PAO1","OMKO1","5","D","0_PAO1_OMKO1_5_D",0.77473,36301
"0","PAO1","OMKO1","5","E","0_PAO1_OMKO1_5_E",0.80483,35401
"0","PAO1","OMKO1","5","F","0_PAO1_OMKO1_5_F",0.79961,33001
"100","NA","OMKO1","0","A","100_NA_OMKO1_0_A",0.22304,9300
"100","NA","OMKO1","0","B","100_NA_OMKO1_0_B",0.21876,9300
"100","NA","OMKO1","0","C","100_NA_OMKO1_0_C",0.22764,9300
"100","NA","OMKO1","0","D","100_NA_OMKO1_0_D",0.25554,9300
"100","NA","OMKO1","0","E","100_NA_OMKO1_0_E",0.22369,9300
"100","NA","OMKO1","0","F","100_NA_OMKO1_0_F",0.22336,9300
"100","PAO1","NA","NA","A","100_PAO1_NA_NA_A",1.27926,45901
"100","PAO1","NA","NA","B","100_PAO1_NA_NA_B",1.26702,47701
"100","PAO1","NA","NA","C","100_PAO1_NA_NA_C",1.26832,49501
"100","PAO1","NA","NA","D","100_PAO1_NA_NA_D",1.28507,49201
"100","PAO1","NA","NA","E","100_PAO1_NA_NA_E",1.29291,54901
"100","PAO1","NA","NA","F","100_PAO1_NA_NA_F",1.28081,48901
"100","PAO1","NA","NA","G","100_PAO1_NA_NA_G",0.21614,9300
"100","PAO1","NA","NA","H","100_PAO1_NA_NA_H",0.22844,9300
"100","PAO1","NA","NA","I","100_PAO1_NA_NA_I",0.21516,9300
"100","PAO1","NA","NA","J","100_PAO1_NA_NA_J",0.23223,9000
"100","PAO1","NA","NA","K","100_PAO1_NA_NA_K",0.22569,9300
"100","PAO1","NA","NA","L","100_PAO1_NA_NA_L",0.22782,8700
"100","PAO1","OMKO1","0","A","100_PAO1_OMKO1_0_A",0.21669,9300
"100","PAO1","OMKO1","0","B","100_PAO1_OMKO1_0_B",0.226,9300
"100","PAO1","OMKO1","0","C","100_PAO1_OMKO1_0_C",0.2084,9300
"100","PAO1","OMKO1","0","D","100_PAO1_OMKO1_0_D",0.2286,9000
"100","PAO1","OMKO1","0","E","100_PAO1_OMKO1_0_E",0.21088,9000
"100","PAO1","OMKO1","0","F","100_PAO1_OMKO1_0_F",0.21304,9300
