"Saline.Concentration..M.","Duration.of.shock..m.","Plate.Count","X","pct_surv"
"0",5,204,"",97.1428571428571
"0",5,226,"",107.619047619048
"0",5,234,"",111.428571428571
"0",30,196,"",93.3333333333333
"0",30,233,"",110.952380952381
"0",30,217,"",103.333333333333
"0",60,219,"",104.285714285714
"0",60,264,"",125.714285714286
"0",60,216,"",102.857142857143
"0",90,235,"",111.904761904762
"0",90,227,"",108.095238095238
"0",90,296,"",140.952380952381
"0.17 (LB)",5,210,"Control",100
"0.17 (LB)",30,202,"Control",96.1904761904762
"0.17 (LB)",60,210,"Control",100
"0.17 (LB)",90,253,"Control",120.47619047619
"0.5",5,271,"",129.047619047619
"0.5",5,254,"",120.952380952381
"0.5",5,206,"",98.0952380952381
"0.5",30,217,"",103.333333333333
"0.5",30,191,"",90.9523809523809
"0.5",30,173,"",82.3809523809524
"0.5",60,180,"",85.7142857142857
"0.5",60,207,"",98.5714285714286
"0.5",60,236,"",112.380952380952
"0.5",90,209,"",99.5238095238095
"0.5",90,176,"",83.8095238095238
"0.5",90,185,"",88.0952380952381
"3",5,210,"",100
"3",5,188,"",89.5238095238095
"3",5,196,"",93.3333333333333
"3",30,198,"",94.2857142857143
"3",30,195,"",92.8571428571429
"3",30,246,"",117.142857142857
"3",60,193,"",91.9047619047619
"3",60,179,"",85.2380952380952
"3",60,200,"",95.2380952380952
"3",90,226,"",107.619047619048
"3",90,230,"",109.52380952381
"3",90,153,"",72.8571428571429
"3.5",5,257,"",122.380952380952
"3.5",5,197,"",93.8095238095238
"3.5",5,251,"",119.52380952381
"3.5",30,178,"",84.7619047619048
"3.5",30,188,"",89.5238095238095
"3.5",30,209,"",99.5238095238095
"3.5",60,201,"",95.7142857142857
"3.5",60,258,"",122.857142857143
"3.5",60,221,"",105.238095238095
"3.5",90,258,"",122.857142857143
"3.5",90,266,"",126.666666666667
"3.5",90,169,"",80.4761904761905
"4",5,186,"",88.5714285714286
"4",5,246,"",117.142857142857
"4",5,229,"",109.047619047619
"4",30,195,"",92.8571428571429
"4",30,183,"",87.1428571428571
"4",30,211,"",100.47619047619
"4",60,194,"",92.3809523809524
"4",60,236,"",112.380952380952
"4",60,183,"",87.1428571428571
"4",90,236,"",112.380952380952
"4",90,242,"",115.238095238095
"4",90,180,"",85.7142857142857
"4.5",5,188,"",89.5238095238095
"4.5",5,191,"",90.9523809523809
"4.5",5,166,"",79.0476190476191
"4.5",30,230,"",109.52380952381
"4.5",30,178,"",84.7619047619048
"4.5",30,227,"",108.095238095238
"4.5",60,199,"",94.7619047619048
"4.5",60,237,"",112.857142857143
"4.5",60,192,"",91.4285714285714
"4.5",90,162,"",77.1428571428571
"4.5",90,211,"",100.47619047619
"4.5",90,145,"",69.0476190476191
"5",5,187,"",89.0476190476191
"5",5,169,"",80.4761904761905
"5",5,201,"",95.7142857142857
"5",30,166,"",79.0476190476191
"5",30,196,"",93.3333333333333
"5",30,169,"",80.4761904761905
"5",60,267,"",127.142857142857
"5",60,204,"",97.1428571428571
"5",60,205,"",97.6190476190476
"5",90,203,"",96.6666666666667
"5",90,173,"",82.3809523809524
"5",90,196,"",93.3333333333333
