"Sample","Duration.of.shock..m.","Plate.count","Dilution","Titer","pct_surv"
"A",0,181,6,1.81e+09,91.5682967959528
"A",0,222,6,2.22e+09,112.310286677909
"A",0,190,6,1.9e+09,96.1214165261383
"A",5,159,6,1.59e+09,80.4384485666104
"A",5,128,6,1.28e+09,64.7554806070826
"A",5,151,6,1.51e+09,76.3912310286678
"A",90,183,4,18300000,0.925801011804384
"A",90,164,4,16400000,0.829679595278246
"A",90,130,4,1.3e+07,0.657672849915683
"A",180,34,3,340000,0.0172006745362563
"A",180,33,3,330000,0.0166947723440135
"A",180,36,3,360000,0.018212478920742
"A",270,49,2,49000,0.00247892074198988
"A",270,47,2,47000,0.00237774030354132
"A",270,33,2,33000,0.00166947723440135
"A",360,45,1,4500,0.000227655986509275
"A",360,37,1,3700,0.000187183811129848
"A",360,30,1,3000,0.00015177065767285
"B",0,311,6,3.11e+09,106.022727272727
"B",0,303,6,3.03e+09,103.295454545455
"B",0,266,6,2.66e+09,90.6818181818182
"B",5,290,6,2.9e+09,98.8636363636364
"B",5,261,6,2.61e+09,88.9772727272727
"B",5,321,6,3.21e+09,109.431818181818
"B",90,306,4,30600000,1.04318181818182
"B",90,337,4,33700000,1.14886363636364
"B",90,311,4,31100000,1.06022727272727
"B",180,72,3,720000,0.0245454545454545
"B",180,63,3,630000,0.0214772727272727
"B",180,45,3,450000,0.0153409090909091
"B",270,18,2,18000,0.000613636363636364
"B",270,5,2,5000,0.000170454545454545
"B",270,8,2,8000,0.000272727272727273
"B",360,1,1,100,3.40909090909091e-06
"B",360,5,1,500,1.70454545454545e-05
"B",360,6,1,600,2.04545454545455e-05
"C",0,169,6,1.69e+09,88.9473684210526
"C",0,225,6,2.25e+09,118.421052631579
"C",0,176,6,1.76e+09,92.6315789473684
"C",5,26,6,2.6e+08,13.6842105263158
"C",5,44,6,4.4e+08,23.1578947368421
"C",5,37,6,3.7e+08,19.4736842105263
"C",90,92,4,9200000,0.484210526315789
"C",90,66,4,6600000,0.347368421052632
"C",90,60,4,6e+06,0.315789473684211
"C",180,16,3,160000,0.00842105263157895
"C",180,5,3,50000,0.00263157894736842
"C",180,11,3,110000,0.00578947368421053
"C",270,8,2,8000,0.000421052631578947
"C",270,5,2,5000,0.000263157894736842
"C",270,6,2,6000,0.000315789473684211
"C",360,1,1,100,5.26315789473684e-06
"C",360,4,1,400,2.10526315789474e-05
"C",360,6,1,600,3.15789473684211e-05
"D",0,225,6,2.25e+09,106.466876971609
"D",0,207,6,2.07e+09,97.9495268138801
"D",0,202,6,2.02e+09,95.583596214511
"D",5,1,6,1e+07,0.473186119873817
"D",5,2,6,2e+07,0.946372239747634
"D",5,2,6,2e+07,0.946372239747634
"D",90,9,4,9e+05,0.0425867507886435
"D",90,14,4,1400000,0.0662460567823344
"D",90,5,4,5e+05,0.0236593059936909
"D",180,7,3,70000,0.00331230283911672
"D",180,7,3,70000,0.00331230283911672
"D",180,3,3,30000,0.00141955835962145
"D",270,6,2,6000,0.00028391167192429
"D",270,1,2,1000,4.73186119873817e-05
"D",270,1,2,1000,4.73186119873817e-05
"D",360,8,1,800,3.78548895899054e-05
"D",360,11,1,1100,5.20504731861199e-05
"D",360,5,1,500,2.36593059936909e-05
"E",0,259,6,2.59e+09,98.7293519695044
"E",0,272,6,2.72e+09,103.684879288437
"E",0,256,6,2.56e+09,97.5857687420584
"E",5,201,6,2.01e+09,76.6200762388818
"E",5,167,6,1.67e+09,63.6594663278272
"E",5,233,6,2.33e+09,88.8182973316391
"E",90,151,4,15100000,0.575603557814485
"E",90,148,4,14800000,0.564167725540025
"E",90,104,4,10400000,0.396442185514612
"E",180,8,3,80000,0.00304955527318933
"E",180,15,3,150000,0.00571791613722999
"E",180,5,3,50000,0.00190597204574333
"E",270,5,2,5000,0.000190597204574333
"E",270,2,2,2000,7.62388818297332e-05
"E",270,2,2,2000,7.62388818297332e-05
"E",360,12,1,1200,4.57433290978399e-05
"E",360,11,1,1100,4.19313850063532e-05
"E",360,11,1,1100,4.19313850063532e-05
