"Temp","Duration","Plate.count","pct_surv"
55,5,98,105
55,5,90,96.4285714285714
55,5,92,98.5714285714286
55,30,153,163.928571428571
55,30,101,108.214285714286
55,30,113,121.071428571429
55,60,124,132.857142857143
55,60,100,107.142857142857
55,60,102,109.285714285714
55,90,77,82.5
55,90,127,136.071428571429
55,90,147,157.5
60,5,101,108.214285714286
60,5,95,101.785714285714
60,5,88,94.2857142857143
60,30,120,128.571428571429
60,30,127,136.071428571429
60,30,137,146.785714285714
60,60,125,133.928571428571
60,60,114,122.142857142857
60,60,122,130.714285714286
60,90,126,135
60,90,98,105
60,90,102,109.285714285714
65,5,128,137.142857142857
65,5,77,82.5
65,5,91,97.5
65,30,106,113.571428571429
65,30,100,107.142857142857
65,30,106,113.571428571429
65,60,77,82.5
65,60,89,95.3571428571429
65,60,73,78.2142857142857
65,90,68,72.8571428571429
65,90,57,61.0714285714286
65,90,54,57.8571428571429
70,5,116,124.285714285714
70,5,107,114.642857142857
70,5,114,122.142857142857
70,30,32,34.2857142857143
70,30,43,46.0714285714286
70,30,43,46.0714285714286
70,60,11,11.7857142857143
70,60,10,10.7142857142857
70,60,9,9.64285714285714
70,90,3,3.21428571428571
70,90,3,3.21428571428571
70,90,4,4.28571428571429
75,5,13,13.9285714285714
75,5,24,25.7142857142857
75,5,11,11.7857142857143
75,30,0,0
75,30,0,0
75,30,0,0
75,60,0,0
75,60,0,0
75,60,0,0
75,90,0,0
75,90,0,0
75,90,0,0
80,5,0,0
80,5,0,0
80,5,0,0
80,30,0,0
80,30,0,0
80,30,0,0
80,60,0,0
80,60,0,0
80,60,0,0
80,90,0,0
80,90,0,0
80,90,0,0
