"Date","Molarity","Plaques","Dilution","Time","bd","pfu_ml","pct_surv"
"12/8/2020","0",61,-1,0,0,122000,129.787234042553
"12/8/2020","0",38,-1,0,0,76000,80.8510638297872
"12/8/2020","0",42,-1,0,0,84000,89.3617021276596
"12/8/2020","0",198,-1,45,0,396000,421.276595744681
"12/8/2020","0",79,-1,45,0,158000,168.085106382979
"12/8/2020","0",118,-1,45,0,236000,251.063829787234
"12/8/2020","0",48,-1,90,0,96000,102.127659574468
"12/8/2020","0",36,-1,90,0,72000,76.5957446808511
"12/8/2020","0",30,-1,90,0,60000,63.8297872340426
"12/8/2020","1",195,-1,45,0,390000,414.893617021277
"12/8/2020","1",319,-1,45,0,638000,678.723404255319
"12/8/2020","1",236,-1,45,0,472000,502.127659574468
"12/8/2020","1",81,-1,90,0,162000,172.340425531915
"12/8/2020","1",140,-1,90,0,280000,297.872340425532
"12/8/2020","1",92,-1,90,0,184000,195.744680851064
"12/8/2020","2",18,-2,45,0,360000,382.978723404255
"12/8/2020","2",90,-1,45,0,180000,191.489361702128
"12/8/2020","2",107,-1,45,0,214000,227.659574468085
"12/8/2020","2",118,-1,90,0,236000,251.063829787234
"12/8/2020","2",105,-1,90,0,210000,223.404255319149
"12/8/2020","2",95,-1,90,0,190000,202.127659574468
"12/8/2020","3",1,-1,45,1,2000,2.12765957446809
"12/8/2020","3",1,-1,45,1,2000,2.12765957446809
"12/8/2020","3",1,-1,45,1,2000,2.12765957446809
"12/8/2020","3",1,-1,90,1,2000,2.12765957446809
"12/8/2020","3",1,-1,90,1,2000,2.12765957446809
"12/8/2020","3",1,-1,90,1,2000,2.12765957446809
"12/8/2020","4",1,-1,45,1,2000,2.12765957446809
"12/8/2020","4",1,-1,45,1,2000,2.12765957446809
"12/8/2020","4",1,-1,45,1,2000,2.12765957446809
"12/8/2020","4",1,-1,90,1,2000,2.12765957446809
"12/8/2020","4",1,-1,90,1,2000,2.12765957446809
"12/8/2020","4",1,-1,90,1,2000,2.12765957446809
"12/15/2020","0",187,-1,0,0,374000,95.0847457627119
"12/15/2020","0",244,-1,0,0,488000,124.067796610169
"12/15/2020","0",159,-1,0,0,318000,80.8474576271186
"12/15/2020","0",26,-2,45,0,520000,132.203389830508
"12/15/2020","0",26,-2,45,0,520000,132.203389830508
"12/15/2020","0",37,-2,45,0,740000,188.135593220339
"12/15/2020","0",51,-2,90,0,1020000,259.322033898305
"12/15/2020","0",50,-2,90,0,1e+06,254.237288135593
"12/15/2020","0",35,-2,90,0,7e+05,177.966101694915
"12/15/2020","1",28,-2,45,0,560000,142.372881355932
