"Urea.concentration..M.","Duration.of.shock..m.","Plate.count","X","pct_surv","bd"
"0",0,175,"Control",100,FALSE
"0",5,220,"Control",125.714285714286,FALSE
"0",30,214,"Control",122.285714285714,FALSE
"0",60,264,"Control",150.857142857143,FALSE
"0",90,243,"Control",138.857142857143,FALSE
"1",5,216,"",123.428571428571,FALSE
"1",5,234,"",133.714285714286,FALSE
"1",5,400,"",228.571428571429,FALSE
"1",30,205,"",117.142857142857,FALSE
"1",30,233,"",133.142857142857,FALSE
"1",30,222,"",126.857142857143,FALSE
"1",60,249,"",142.285714285714,FALSE
"1",60,222,"",126.857142857143,FALSE
"1",60,200,"",114.285714285714,FALSE
"1",90,168,"",96,FALSE
"1",90,174,"",99.4285714285714,FALSE
"1",90,167,"",95.4285714285714,FALSE
"2",5,174,"",99.4285714285714,FALSE
"2",5,400,"",228.571428571429,FALSE
"2",5,195,"",111.428571428571,FALSE
"2",30,215,"",122.857142857143,FALSE
"2",30,155,"",88.5714285714286,FALSE
"2",30,193,"",110.285714285714,FALSE
"2",60,179,"",102.285714285714,FALSE
"2",60,182,"",104,FALSE
"2",60,200,"",114.285714285714,FALSE
"2",90,189,"",108,FALSE
"2",90,164,"",93.7142857142857,FALSE
"2",90,145,"",82.8571428571429,FALSE
"3",5,190,"",108.571428571429,FALSE
"3",5,251,"",143.428571428571,FALSE
"3",5,185,"",105.714285714286,FALSE
"3",30,189,"",108,FALSE
"3",30,140,"",80,FALSE
"3",30,135,"",77.1428571428571,FALSE
"3",60,124,"",70.8571428571429,FALSE
"3",60,108,"",61.7142857142857,FALSE
"3",60,101,"",57.7142857142857,FALSE
"3",90,76,"",43.4285714285714,FALSE
"3",90,83,"",47.4285714285714,FALSE
"3",90,64,"",36.5714285714286,FALSE
"4",5,182,"",104,FALSE
"4",5,232,"",132.571428571429,FALSE
"4",5,172,"",98.2857142857143,FALSE
"4",30,171,"",97.7142857142857,FALSE
"4",30,105,"",60,FALSE
"4",30,97,"",55.4285714285714,FALSE
"4",60,81,"",46.2857142857143,FALSE
"4",60,69,"",39.4285714285714,FALSE
"4",60,59,"",33.7142857142857,FALSE
"4",90,40,"",22.8571428571429,FALSE
"4",90,38,"",21.7142857142857,FALSE
"4",90,29,"",16.5714285714286,FALSE
"5",5,132,"",75.4285714285714,FALSE
"5",5,142,"",81.1428571428571,FALSE
"5",5,83,"",47.4285714285714,FALSE
"5",30,39,"",22.2857142857143,FALSE
"5",30,40,"",22.8571428571429,FALSE
"5",30,36,"",20.5714285714286,FALSE
"5",60,7,"",4,FALSE
"5",60,5,"",2.85714285714286,FALSE
"5",60,8,"",4.57142857142857,FALSE
"5",90,1,"",0.571428571428571,FALSE
"5",90,0,"",0,TRUE
"5",90,0,"",0,TRUE
"6",5,8,"",4.57142857142857,FALSE
"6",5,14,"",8,FALSE
"6",5,23,"",13.1428571428571,FALSE
"6",30,5,"",2.85714285714286,FALSE
"6",30,4,"",2.28571428571429,FALSE
"6",30,1,"",0.571428571428571,FALSE
"6",60,0,"",0,TRUE
"6",60,0,"",0,TRUE
"6",60,0,"",0,TRUE
"6",90,0,"",0,TRUE
"6",90,0,"",0,TRUE
"6",90,0,"",0,TRUE
"7",5,0,"",0,TRUE
"7",5,3,"",1.71428571428571,FALSE
"7",5,4,"",2.28571428571429,FALSE
"7",30,0,"",0,TRUE
"7",30,0,"",0,TRUE
"7",30,2,"",1.14285714285714,FALSE
"7",60,3,"",1.71428571428571,FALSE
"7",60,1,"",0.571428571428571,FALSE
"7",60,0,"",0,TRUE
"7",90,0,"",0,TRUE
"7",90,0,"",0,TRUE
"7",90,0,"",0,TRUE
"8",5,0,"",0,TRUE
"8",5,0,"",0,TRUE
"8",5,1,"",0.571428571428571,FALSE
"8",30,0,"",0,TRUE
"8",30,0,"",0,TRUE
"8",30,1,"",0.571428571428571,FALSE
"8",60,0,"",0,TRUE
"8",60,0,"",0,TRUE
"8",60,0,"",0,TRUE
"8",90,0,"",0,TRUE
"8",90,0,"",0,TRUE
"8",90,0,"",0,TRUE
"9",5,2,"",1.14285714285714,FALSE
"9",5,0,"",0,TRUE
"9",5,1,"",0.571428571428571,FALSE
"9",30,0,"",0,TRUE
"9",30,0,"",0,TRUE
"9",30,2,"",1.14285714285714,FALSE
"9",60,0,"",0,TRUE
"9",60,0,"",0,TRUE
"9",60,0,"",0,TRUE
"9",90,0,"",0,TRUE
"9",90,0,"",0,TRUE
"9",90,0,"",0,TRUE
"10",5,1,"",0.571428571428571,FALSE
"10",5,0,"",0,TRUE
"10",5,1,"",0.571428571428571,FALSE
"10",30,0,"",0,TRUE
"10",30,0,"",0,TRUE
"10",30,0,"",0,TRUE
"10",60,0,"",0,TRUE
"10",60,0,"",0,TRUE
"10",60,0,"",0,TRUE
"10",90,0,"",0,TRUE
"10",90,0,"",0,TRUE
"10",90,0,"",0,TRUE
